Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
1,EFEMP1,EC-PCV,-5.17847290402685,-4.90048889717317,-4.64981288144113,-0.49376308432009,8.21000163516528,2.28968523620763e-254,0.8039158169031141,PASS,
3,LUM,Prv-CCL19,-2.56880460184028,-5.67214322571439,-5.60691960147437,-0.925500089471404,9.24245705178376,1.70458550570237e-283,0.7642776052553727,PASS,
4,MMP11,Prv-CCL19,-4.17311167716561,-4.50309224116857,-4.57798747208216,-0.68960416677275,8.6027233598557,5.12078701521678e-255,0.7571732377053219,PASS,
5,APCDD1,EC-aPCV,-3.76427444922468,-4.39055990991894,-4.15025179933727,-0.488917291107625,7.94669289688963,2.40267553139876e-119,0.7403027701253778,PASS,
9,IGF1,Prv-CCL19,-2.63423120320169,-4.07879549477733,-4.35820950478163,-0.390520511802922,8.54692232256105,5.95090490609089e-209,0.7111487656571509,PASS,
14,DIO2,Prv-CCL19,-4.12440376407784,-4.04083709308095,-3.92787672619163,-1.29516644920665,8.43427578985155,3.91690451254447e-237,0.6796384304518158,PASS,
15,CYP26B1,EC-PCV,-4.16703374882377,-4.0639860563235,-4.10102140420096,-1.41110401705971,7.97964866069561,3.30722596553724e-132,0.6779351611945429,PASS,
19,ENPP2,EC-PCV,-2.52973660509433,-3.92170064831328,-3.60531689659776,-0.565879798905275,8.91935965374791,5.5680793771425e-164,0.675243918820993,PASS,
23,CTGF,EC-PCV,-0.971379999153571,-4.22367157671472,-4.68590753050112,-0.766273529184818,9.48533157962628,2.17324508647642e-170,0.6617675758534237,PASS,
24,ENPP2,EC-aPCV,-2.51131712242848,-3.64252930073336,-3.62200182310406,-0.647076289152188,8.42901639270832,3.70731916831801e-100,0.6612720795410915,PASS,
28,THY1,EC-PCV,-3.45997116442547,-3.05050560174511,-3.19321602811424,-0.405613142973297,7.97619475646115,1.18269408403595e-65,0.6576204536253106,PASS,
29,HOXD10,EC-aPCV,-2.7067008918575,-3.11225486116131,-3.00550735525191,-0.0553179958957579,7.85107753833111,1.49829650927115e-43,0.6551232150200343,PASS,
31,APCDD1,Prv-CCL19,-3.1249823222905,-3.04303659007592,-2.77168983381407,-0.128551449277078,8.47968169686859,8.857035967326201e-137,0.6515684616389179,PASS,
34,WNT4,Prv-CCL19,-3.39915169235337,-3.4782539161514,-3.52016700446232,-1.02540659177306,8.34277143454853,4.31201697379937e-130,0.649783285223918,PASS,
36,RGCC,EC-PCV,-2.68845005262314,-3.49153511063548,-3.42898386372176,-0.764130714895812,7.96560516143346,4.93828285354224e-86,0.6483864944969152,PASS,
37,PART1,EC-aPCV,-2.9709446742327,-2.90198917471641,-2.95042703766995,-0.155804741417503,7.83493384815757,1.94908318602112e-44,0.6474840887584556,PASS,
38,MT1E,EC-aPCV,-1.27173752395033,-3.48495396980766,-3.64896456162506,-0.224700734656258,7.88465933044298,2.92738781638466e-113,0.6470066569810917,PASS,
40,FJX1,Prv-CCL19,-2.07983498845242,-3.02848037393058,-2.99998461273304,-0.0425055916858984,8.4262665368078,3.04688173129601e-145,0.6408476823167882,PASS,
41,TGFB2,EC-aPCV,-2.86869325777063,-3.05304327448564,-2.97951571630135,-0.430517459817518,7.84437805732005,9.26130760121295e-30,0.6404743791750499,PASS,
42,MGP,EC-PCV,-1.32725965052409,-3.4031489547967,-3.76108930377148,-0.474996835755634,9.56665406145389,5.510392271032199e-127,0.6376548038498819,PASS,
47,MT1E,EC-PCV,-0.778702359985823,-3.42876310194583,-3.51445019805016,-0.161533496180168,8.06133734618258,1.32475172632861e-147,0.6337472662719351,PASS,
48,RARRES1,Prv-CCL19,-4.17099233521529,-4.0001360876809,-3.8295690757042,-1.85374858311139,8.50490062063937,8.57268482063994e-170,0.6335182460980583,PASS,
49,SOX4,Prv-CCL19,-1.11021417173146,-3.30797946907468,-4.07992605526416,-0.634902853649252,9.23394532111912,2.91810670605347e-170,0.6289850920142221,PASS,
51,AC004540.2,EC-PCV,-2.57988453882906,-2.79123496482722,-2.90745555605108,-0.360564023466249,7.9608288504816,3.47865527845087e-52,0.6272414223569688,PASS,
52,ABI3BP,EC-PCV,-1.71433027290838,-3.2247918507467,-3.21872471075027,-0.485524608417699,8.10179432632124,1.24026669031476e-97,0.6270809577867713,PASS,
59,PART1,EC-PCV,-3.22349591283748,-3.19753042317498,-3.16428491560327,-1.10512206652652,7.94703040532301,4.54760182215806e-63,0.6210468690182925,PASS,
61,MARCKSL1,Prv-CCL19,-0.206984430507152,-3.3101267675832,-3.5900819996221,-0.173100530604905,8.56964695497487,1.16146205684129e-185,0.6189747742426749,PASS,
62,THY1,EC-aPCV,-2.64217095032311,-2.42217970624867,-2.42178495643544,-0.0529276882490984,7.84490924311166,6.197775376161101e-20,0.6169758469841635,PASS,
