Rank,Gene,Cell Type,logFC.ecoVSctrl,logFC.ecpVSctrl,logFC.ecpaVSctrl,logFC.eueVSctrl,logCPM,FDR,Score,Status,Dropped Reason
2,FABP4,Prv-CCL19,2.83816155675853,5.12069912835603,4.6791917792389,0.0817237450703614,9.45619830706881,1.22438753903611e-80,0.7717076784464634,PASS,
6,C2orf40,Prv-CCL19,2.93781655186595,6.61065896830397,6.94196108254577,2.09189134798326,11.8430645086516,1.54674941731856e-164,0.7189670081736984,PASS,
7,S100A10,Prv-CCL19,3.8749810218315,4.20535306408511,4.1369847777599,0.842938412888082,9.35579529616379,1.64016140095129e-96,0.7167913904092995,PASS,
8,LYVE1,Mɸ4-infiltrated,3.98204340205728,3.79032786605932,4.21647380851412,0.628195684789284,7.92473695176468,3.58775577879164e-102,0.7152887550127041,PASS,
10,PDK4,Mɸ1-LYVE1,4.79527630724777,4.28644271427278,2.57958880968192,0.564390577486611,10.0949373291401,8.241452408427271e-173,0.6977931020104948,PASS,
11,FABP5,EC-aPCV,2.9007193871253,5.41728884431876,4.50077781298879,1.594635944244,9.31378727295596,6.06997305366739e-55,0.6932172952498946,PASS,
12,WISP2,Prv-CCL19,3.46689546120519,3.50666634204905,3.40533059971308,0.204505701584026,8.848583673926,6.24764709914704e-50,0.6888353599235137,PASS,
13,ADIRF,Prv-CCL19,3.29294732945969,4.7992197959273,4.96061716908267,1.74354331443439,11.474304069873,1.22416930349479e-175,0.6833224023051833,PASS,
16,MT1M,Prv-CCL19,2.63667494456688,3.620764493794,3.61772660042207,0.319981970415618,9.14065542499426,2.17457513275918e-50,0.6777661616337662,PASS,
17,POSTN,EC-tip,3.39129204865467,3.43407136263251,3.191779413357,0.249348511772191,8.53124454199196,1.95125313979424e-150,0.6771411679216033,PASS,
18,SELE,EC-PCV,0.6027145186676,5.44495963200446,4.95367063464931,1.01120651946671,9.6378404191699,2.27926498909546e-22,0.6770960651385247,PASS,
20,SNCG,Prv-CCL19,1.32849838403204,4.2977577763681,4.33075199520729,0.598381350083377,9.18233486409304,1.66725177825987e-121,0.67420194759116,PASS,
21,CFH,Prv-CCL19,2.85546567119942,3.62521377272609,3.09543268303508,0.170228051194819,9.41571199549611,1.26605208951871e-62,0.6740913852574847,PASS,
22,CYP1B1,Mɸ1-LYVE1,2.58806408728478,3.93659567532805,4.2009139899007,1.01890489520524,7.79723116309613,2.99296942648319e-84,0.6685880900326844,PASS,
25,LYVE1,Mɸ1-LYVE1,1.80848320047995,4.0407186371581,3.31864302710402,0.445214071532013,9.33295623386049,4.22443033933539e-90,0.6602457110791956,PASS,
26,PDK4,Mɸ4-infiltrated,4.35680987532902,3.49574021237029,1.72252261682198,0.0413533347625535,8.04184993375696,2.81334228770232e-126,0.6588578793213549,PASS,
27,FBLN2,EC-aPCV,2.27319548086426,3.69449780053932,3.33474108270852,0.492335305394744,8.5260574392949,2.9533678955605e-22,0.6576543774804313,PASS,
